City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Lorengau,PG,-2.0226,147.2712,81.68,78,24,5.66,few clouds
80,Mangaratiba,BR,-22.9597,-44.0406,81.73,80,10,7.11,clear sky
81,Arraial Do Cabo,BR,-22.9661,-42.0278,75.02,83,0,12.93,clear sky
82,Gazli,UZ,40.1333,63.45,96.78,11,41,4.72,scattered clouds
83,Jamestown,US,42.097,-79.2353,78.03,53,15,8.99,few clouds
84,Marana,US,32.4367,-111.2254,101.05,7,1,5.75,clear sky
85,Kruisfontein,ZA,-34.0033,24.7314,48.88,74,0,5.14,clear sky
86,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,92.88,32,1,14.14,clear sky
87,Vitorino Freire,BR,-4.0667,-45.1667,87.62,63,11,0.98,few clouds
88,Kaitangata,NZ,-46.2817,169.8464,45.21,85,95,5.5,overcast clouds
89,Puerto Escondido,MX,15.85,-97.0667,88.21,60,63,7.14,broken clouds
90,Tuktoyaktuk,CA,69.4541,-133.0374,33.24,96,100,11.12,overcast clouds
91,Hobart,AU,-42.8794,147.3294,44.06,77,40,7.0,scattered clouds
92,Khatanga,RU,71.9667,102.5,32.25,98,100,11.03,overcast clouds
93,Esmeralda,CU,21.8525,-78.1169,76.24,55,61,12.3,broken clouds
94,Lincoln,US,40.8,-96.667,91.47,32,3,1.01,clear sky
95,Jalu,LY,29.0331,21.5482,87.82,22,0,10.31,clear sky
96,New Norfolk,AU,-42.7826,147.0587,43.72,79,100,1.01,overcast clouds
97,Kavaratti,IN,10.5669,72.642,83.07,79,100,16.06,overcast clouds
98,Butaritari,KI,3.0707,172.7902,82.44,67,83,3.11,broken clouds
99,Nesna,NO,66.1967,13.0213,72.32,63,80,4.45,broken clouds
100,Sitka,US,57.0531,-135.33,49.19,84,100,7.83,light rain
101,Nanortalik,GL,60.1432,-45.2371,40.14,69,100,14.0,overcast clouds
102,Tessalit,ML,20.1986,1.0114,101.71,6,7,12.28,clear sky
103,Porto Walter,BR,-8.2686,-72.7439,80.89,82,100,4.92,overcast clouds
104,Ahipara,NZ,-35.1667,173.1667,55.99,85,100,10.31,overcast clouds
105,Souillac,MU,-20.5167,57.5167,72.36,85,88,16.89,light rain
106,Akyab,MM,20.15,92.9,83.43,81,100,7.52,overcast clouds
107,Bubaque,GW,11.2833,-15.8333,79.29,79,6,19.17,clear sky
108,Kapaa,US,22.0752,-159.319,78.78,86,90,1.99,heavy intensity rain
109,Krasnoselkup,RU,65.7,82.4667,38.3,73,82,11.01,broken clouds
110,Itoman,JP,26.1247,127.6694,80.62,94,20,16.11,few clouds
111,Tasiilaq,GL,65.6145,-37.6368,41.16,85,100,4.21,light rain
112,Phek,IN,25.6667,94.5,58.17,98,4,0.51,clear sky
113,Namatanai,PG,-3.6667,152.4333,79.38,84,65,4.74,broken clouds
114,Tsuruga,JP,35.6455,136.0558,60.96,91,100,1.19,overcast clouds
115,Klaksvik,FO,62.2266,-6.589,49.12,93,70,16.98,broken clouds
116,Banjar,ID,-8.19,114.9675,80.46,91,87,1.99,overcast clouds
117,Alofi,NU,-19.0595,-169.9187,76.17,81,85,11.86,light rain
118,Norman Wells,CA,65.282,-126.8329,50.77,76,100,9.69,overcast clouds
119,Mehamn,NO,71.0357,27.8492,50.18,91,92,14.43,overcast clouds
120,Tigil,RU,57.8,158.6667,46.9,70,100,3.89,overcast clouds
121,Mayumba,GA,-3.432,10.6554,77.0,93,96,7.65,overcast clouds
122,Poum,NC,-20.2333,164.0167,74.46,68,40,3.6,scattered clouds
123,Faanui,PF,-16.4833,-151.75,80.02,76,41,9.55,light rain
124,Cape Town,ZA,-33.9258,18.4232,58.1,81,100,3.0,overcast clouds
125,Bibiani,GH,6.4635,-2.3194,74.66,98,70,4.23,moderate rain
126,Mizdah,LY,31.4451,12.9801,77.74,35,3,18.16,clear sky
127,Mahebourg,MU,-20.4081,57.7,72.25,84,97,19.17,moderate rain
128,Puerto Madero,MX,14.7208,-92.4215,89.8,66,40,10.36,scattered clouds
129,Belyy Yar,RU,53.6039,91.3903,58.89,100,100,7.49,mist
130,Saldanha,ZA,-33.0117,17.9442,59.09,67,100,8.05,overcast clouds
131,Saint George,US,37.1041,-113.5841,101.62,13,52,1.99,broken clouds
132,Senno,RU,59.5336,33.9167,56.26,64,1,4.81,clear sky
133,Meulaboh,ID,4.1363,96.1285,71.4,95,100,9.86,very heavy rain
134,Lysyye Gory,RU,51.5506,44.8414,52.83,95,97,14.41,overcast clouds
135,Bosaso,SO,11.2842,49.1816,87.76,69,50,5.53,scattered clouds
136,Ribeira Grande,PT,38.5167,-28.7,66.6,77,40,11.5,scattered clouds
137,Bayir,TR,37.2687,28.2167,72.12,48,0,5.61,clear sky
138,North Bend,US,43.4065,-124.2243,72.95,70,100,1.99,overcast clouds
139,Saint-Joseph,RE,-21.3667,55.6167,73.76,81,19,10.07,few clouds
140,Bethel,US,41.3712,-73.414,78.93,93,100,5.1,overcast clouds
141,Kamaishi,JP,39.2667,141.8833,58.21,92,100,6.2,overcast clouds
142,Constitucion,CL,-35.3333,-72.4167,59.07,77,100,14.38,overcast clouds
143,Yambio,SS,4.5721,28.3955,69.13,95,100,2.24,light rain
144,Uspenka,UA,48.3903,39.1619,53.98,94,100,2.19,light rain
145,Beyneu,KZ,45.3167,55.2,80.8,26,18,14.05,few clouds
146,Torbay,CA,47.6666,-52.7314,58.87,96,100,22.93,moderate rain
147,Serebryanyy Bor,RU,56.8,124.8,46.76,69,0,1.05,clear sky
148,Kuala Terengganu,MY,5.3302,103.1408,79.83,85,100,5.23,overcast clouds
149,Poronaysk,RU,49.2167,143.1167,46.09,96,100,16.96,light rain
150,Tiksi,RU,71.6872,128.8694,39.88,95,100,7.45,light rain
151,Saskylakh,RU,71.9167,114.0833,33.66,92,100,8.3,overcast clouds
152,Lazaro Cardenas,MX,17.9583,-102.2,87.66,56,100,8.77,overcast clouds
153,Sisophon,KH,13.5859,102.9737,81.5,81,96,6.62,overcast clouds
154,Adrar,MR,20.5022,-10.0711,100.6,17,9,20.45,clear sky
155,Mandurah,AU,-32.55,115.7,43.05,72,68,8.28,broken clouds
156,Jumla,NP,29.2747,82.1838,58.33,84,68,0.6,broken clouds
157,Kaeo,NZ,-35.1,173.7833,53.33,95,95,8.81,moderate rain
158,Cayenne,GF,4.9333,-52.3333,86.04,81,75,4.0,broken clouds
159,Sao Filipe,CV,14.8961,-24.4956,75.65,70,51,12.33,broken clouds
160,Sakaiminato,JP,35.55,133.2333,62.37,67,100,8.41,overcast clouds
161,Japura,ID,-0.3167,102.35,73.56,99,100,2.21,overcast clouds
162,Cidreira,BR,-30.1811,-50.2056,68.85,72,11,7.81,few clouds
163,Balykshi,KZ,47.0667,51.8667,75.2,64,40,13.42,scattered clouds
164,Lata,PT,40.1629,-8.3327,71.04,61,55,6.02,broken clouds
165,Mbuji-Mayi,CD,-6.15,23.6,79.05,53,64,3.6,broken clouds
166,Russell,US,32.3502,-85.1999,87.91,61,99,2.98,overcast clouds
167,Qostanay,KZ,53.1667,63.5833,48.49,49,0,4.47,clear sky
168,Rancho Palos Verdes,US,33.7445,-118.387,87.35,76,20,1.01,few clouds
169,Sarangani,PH,5.4033,125.4636,82.69,77,100,6.62,overcast clouds
170,Loanda,AO,-8.8368,13.2343,76.96,86,68,15.73,broken clouds
171,Ossora,RU,59.2353,163.0719,46.0,79,100,1.7,overcast clouds
172,Anadyr,RU,64.75,177.4833,35.01,80,100,8.01,overcast clouds
173,San Patricio,US,28.017,-97.5169,84.29,62,49,3.04,scattered clouds
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.4,77,0,7.87,clear sky
175,Kavieng,PG,-2.5744,150.7967,82.06,77,38,9.31,scattered clouds
176,Dubti,ET,11.7361,41.0853,98.51,17,5,7.61,clear sky
177,Hithadhoo,MV,-0.6,73.0833,81.79,78,100,14.85,overcast clouds
178,Straumen,NO,63.8709,11.2999,71.6,55,2,1.59,clear sky
179,Asau,RO,46.4333,26.4,59.4,78,23,4.09,few clouds
180,Brainerd,US,46.358,-94.2008,98.85,38,0,13.13,clear sky
181,Steamboat Springs,US,40.485,-106.8317,85.01,20,1,11.5,clear sky
182,Bud,US,39.447,-86.1758,88.03,44,12,9.95,few clouds
183,San Cristobal,VE,7.7669,-72.225,82.81,51,71,6.76,broken clouds
184,Palmer,US,42.1584,-72.3287,78.98,80,100,1.99,light rain
185,Sinnamary,GF,5.3833,-52.95,80.98,83,39,8.72,scattered clouds
186,Manokwari,ID,-0.8667,134.0833,79.03,76,100,3.24,overcast clouds
187,Kapit,MY,2.0167,112.9333,74.12,99,93,1.36,moderate rain
188,Fairbanks,US,64.8378,-147.7164,64.09,59,65,1.01,broken clouds
189,Thompson,CA,55.7435,-97.8558,60.67,60,98,7.2,overcast clouds
190,Irbil,IQ,36.1926,44.0106,82.36,16,0,1.1,clear sky
191,Hambantota,LK,6.1241,81.1185,79.14,94,75,15.19,broken clouds
192,Ostrovnoy,RU,68.0531,39.5131,48.06,73,31,5.39,scattered clouds
193,Bredasdorp,ZA,-34.5322,20.0403,51.3,87,12,4.52,few clouds
194,Mbala,ZM,-8.8402,31.3659,65.77,58,58,10.89,broken clouds
195,Thinadhoo,MV,0.5333,72.9333,82.85,76,100,17.02,overcast clouds
196,Kieta,PG,-6.2167,155.6333,78.46,87,100,0.45,overcast clouds
197,Tuatapere,NZ,-46.1333,167.6833,49.82,84,100,8.72,light rain
198,Beloha,MG,-25.1667,45.05,67.06,82,0,9.31,clear sky
199,Mattru,SL,7.6244,-11.8332,78.53,91,100,5.66,light rain
200,Meghri,AM,38.9029,46.2446,65.75,76,2,4.45,clear sky
201,Mar Del Plata,AR,-38.0023,-57.5575,57.52,75,100,8.03,overcast clouds
202,Kununurra,AU,-15.7667,128.7333,76.98,33,81,9.22,broken clouds
203,Riwaka,NZ,-41.0833,173.0,52.59,88,80,2.53,broken clouds
204,Bellevue,US,47.6104,-122.2007,68.22,65,75,3.0,broken clouds
205,Taltal,CL,-25.4,-70.4833,63.59,77,14,5.46,few clouds
206,Hualmay,PE,-11.0964,-77.6139,69.84,68,8,10.83,clear sky
207,Lodja,CD,-3.4833,23.4333,74.16,73,100,1.99,light rain
208,Hamilton,US,39.1834,-84.5333,87.3,53,51,1.99,broken clouds
209,Muros,ES,42.7762,-9.0603,67.08,54,6,11.45,clear sky
210,Basco,PH,20.4487,121.9702,84.18,84,100,25.37,overcast clouds
211,Griffith,US,41.5284,-87.4237,90.9,33,1,7.0,clear sky
212,Guerrero Negro,MX,27.9769,-114.0611,77.27,42,0,11.88,clear sky
213,Henties Bay,NA,-22.116,14.2845,66.85,54,0,10.92,clear sky
214,Atambua,ID,-9.1061,124.8925,70.61,88,20,4.34,few clouds
215,Manoel Urbano,BR,-8.8389,-69.2597,92.17,35,98,1.63,overcast clouds
216,Marsh Harbour,BS,26.5412,-77.0636,80.15,75,92,12.95,overcast clouds
217,Nouakchott,MR,18.0858,-15.9785,84.13,59,7,20.51,clear sky
218,Iqaluit,CA,63.7506,-68.5145,38.7,69,100,20.0,light rain
219,Hay River,CA,60.8156,-115.7999,63.77,31,83,8.37,broken clouds
220,Khani,GE,41.9563,42.9566,54.97,93,43,2.77,scattered clouds
221,Shache,CN,38.4167,77.2406,77.07,21,16,15.41,few clouds
222,Luderitz,NA,-26.6481,15.1594,67.89,41,0,3.85,clear sky
223,Sacramento,US,38.4666,-121.3177,96.67,41,1,3.0,clear sky
224,Jilin,CN,43.0,126.0,52.02,91,98,13.06,overcast clouds
225,Nuevo Progreso,MX,23.1667,-97.95,90.59,56,99,8.46,overcast clouds
226,Upernavik,GL,72.7868,-56.1549,33.31,80,100,7.43,overcast clouds
227,San Pedro,PH,14.35,121.0167,81.36,85,67,5.23,broken clouds
228,Australind,AU,-33.2667,115.7167,55.06,84,59,6.11,broken clouds
229,Karpathos,GR,35.507,27.2132,67.95,77,0,18.28,clear sky
230,Bonavista,CA,48.6499,-53.1147,50.07,97,100,18.95,moderate rain
231,Musoma,TZ,-1.5,33.8,72.45,73,100,4.7,overcast clouds
232,Mashhad,IR,36.297,59.6062,84.34,30,0,4.61,clear sky
233,Havre,FR,49.5833,0.3333,57.63,82,90,11.16,overcast clouds
234,Bengkulu,ID,-3.8004,102.2655,75.29,91,86,4.05,overcast clouds
235,Eichstatt,DE,48.8833,11.1833,70.23,78,75,4.34,broken clouds
236,Rognan,NO,67.0953,15.3878,63.75,64,9,2.44,clear sky
237,Yangambi,CD,0.8102,24.4336,72.64,88,100,0.89,overcast clouds
238,Gorom-Gorom,BF,14.4439,-0.2361,102.69,14,20,7.05,few clouds
239,Gao,ML,16.6362,1.637,99.91,12,0,9.69,clear sky
240,Pevek,RU,69.7008,170.3133,42.01,59,100,11.25,overcast clouds
241,Makakilo City,US,21.3469,-158.0858,78.57,73,90,13.18,overcast clouds
242,Pangnirtung,CA,66.1451,-65.7125,36.48,92,100,3.94,overcast clouds
243,Savelugu,GH,9.6244,-0.8253,92.68,41,76,5.37,light rain
244,Neuquen,AR,-38.9516,-68.0591,60.39,42,100,18.95,overcast clouds
245,La Libertad,EC,-2.2333,-80.9,74.25,79,69,10.18,broken clouds
246,Evinayong,GQ,1.4368,10.5512,68.63,98,88,2.01,overcast clouds
247,San Nicolas,PH,18.1725,120.5953,81.32,80,79,9.55,broken clouds
248,Walvis Bay,NA,-22.9575,14.5053,67.08,42,0,14.38,clear sky
249,Topchikha,RU,52.8192,83.1185,54.18,89,100,18.19,moderate rain
250,Elko,US,41.0002,-115.5012,87.64,14,0,3.0,clear sky
251,Roald,NO,62.5833,6.1333,69.85,82,0,3.44,clear sky
252,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,84.09,40,9,10.6,clear sky
253,Leh,IN,34.1667,77.5833,48.02,68,100,0.65,overcast clouds
254,Pedernales,DO,18.0384,-71.744,87.48,56,70,2.26,broken clouds
255,Mucurapo,TT,10.6667,-61.5333,78.96,90,100,8.3,overcast clouds
256,Horta,PT,38.5333,-28.6333,65.84,77,40,11.5,scattered clouds
257,Gamba,GA,-2.65,10.0,77.43,86,29,5.75,scattered clouds
258,Codrington,AU,-38.2667,141.9667,42.96,78,100,12.5,light rain
259,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,64,100,6.82,overcast clouds
260,Aykhal,RU,66.0,111.5,43.5,57,100,1.43,overcast clouds
261,Mabaruma,GY,8.2,-59.7833,81.28,76,100,5.01,overcast clouds
262,Nazret,ET,8.55,39.2667,70.16,42,26,2.21,scattered clouds
263,Alta Floresta,BR,-9.8756,-56.0861,89.33,40,44,5.53,scattered clouds
264,Gubkinskiy,RU,64.434,76.5026,44.42,62,91,9.35,overcast clouds
265,Kimbe,PG,-5.5502,150.1429,76.68,95,100,1.86,light rain
266,Tombouctou,ML,20.0,-3.0,103.53,8,100,9.51,overcast clouds
267,Korla,CN,41.7597,86.1469,79.16,27,100,7.7,overcast clouds
268,Taoudenni,ML,22.6783,-3.9836,103.35,13,66,11.45,broken clouds
269,Half Moon Bay,US,37.4636,-122.4286,83.59,71,90,9.22,mist
270,Ugoofaaru,MV,5.6667,73.0,82.96,78,100,15.77,overcast clouds
271,Hovd,MN,48.0056,91.6419,67.15,40,94,9.8,overcast clouds
272,Les Cayes,HT,18.2,-73.75,84.9,64,8,12.35,clear sky
273,Tura,IN,25.5198,90.2201,74.73,92,6,6.42,clear sky
274,Leningradskiy,RU,69.3833,178.4167,30.36,84,79,8.66,broken clouds
275,Nemuro,JP,43.3236,145.575,51.19,100,100,13.65,overcast clouds
276,Tromso,NO,69.6496,18.957,66.85,76,0,17.27,clear sky
277,Lasem,ID,-6.6922,111.4527,79.02,86,10,6.78,clear sky
278,Potchefstroom,ZA,-26.7167,27.1,44.08,47,0,3.38,clear sky
279,Plettenberg Bay,ZA,-34.0527,23.3716,54.41,67,5,3.42,clear sky
280,Tonj,SS,7.2737,28.6822,78.82,63,91,5.14,overcast clouds
281,Cabo San Lucas,MX,22.8909,-109.9124,98.51,55,0,2.42,clear sky
282,Lovington,US,32.944,-103.3485,82.17,37,3,1.01,clear sky
283,Saint-Felicien,CA,48.6501,-72.4491,70.11,53,100,8.41,overcast clouds
284,Chicama,PE,-7.8447,-79.1469,74.93,59,86,9.93,overcast clouds
285,Chimbote,PE,-9.0853,-78.5783,69.89,72,5,11.52,clear sky
