City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bambous Virieux,-20.3428,57.7575,70.21,94,40,8.5,MU,2021-05-26 01:45:11
68,Torbay,47.6666,-52.7314,46.58,81,90,20.71,CA,2021-05-26 01:45:24
69,Zemio,5.0314,25.1361,68.86,92,30,2.3,CF,2021-05-26 01:49:11
70,Port Elizabeth,-33.918,25.5701,59.29,88,0,8.05,ZA,2021-05-26 01:49:11
71,Bata,1.8639,9.7658,78.35,90,90,3.87,GQ,2021-05-26 01:49:11
72,Saint-Raphael,19.4333,-72.2,72.05,95,58,3.78,HT,2021-05-26 01:49:11
73,Guerrero Negro,27.9769,-114.0611,63.88,78,100,15.28,MX,2021-05-26 01:47:30
74,Makakilo City,21.3469,-158.0858,81.68,65,75,10.36,US,2021-05-26 01:46:30
75,Carnarvon,-24.8667,113.6333,62.67,45,100,13.8,AU,2021-05-26 01:46:27
76,Namtsy,62.7161,129.6658,60.91,38,99,2.48,RU,2021-05-26 01:49:12
77,Ekibastuz,51.6667,75.3667,84.22,25,2,9.37,KZ,2021-05-26 01:49:12
78,Mendoza,-32.8908,-68.8272,53.13,54,0,4.61,AR,2021-05-26 01:44:35
79,Dikson,73.5069,80.5464,23.9,92,39,8.75,RU,2021-05-26 01:45:01
80,Norman Wells,65.282,-126.8329,62.64,22,20,11.5,CA,2021-05-26 01:49:13
81,Vaini,-21.2,-175.2,73.56,88,90,9.22,TO,2021-05-26 01:49:13
82,Georgetown,5.4112,100.3354,84.88,82,20,3.0,MY,2021-05-26 01:45:09
83,Quatre Cocos,-20.2078,57.7625,70.09,77,8,8.41,MU,2021-05-26 01:48:53
84,Kimbe,-5.5502,150.1429,80.89,82,100,5.57,PG,2021-05-26 01:49:14
85,Saint George,37.1041,-113.5841,90.07,9,1,1.01,US,2021-05-26 01:49:14
86,Changli,39.7042,119.1506,72.95,31,98,7.81,CN,2021-05-26 01:49:14
87,Beringovskiy,63.05,179.3167,32.54,98,100,6.4,RU,2021-05-26 01:47:08
88,Thompson,55.7435,-97.8558,28.56,69,90,14.97,CA,2021-05-26 01:47:20
89,Chara,56.9064,118.2631,47.82,58,90,3.13,RU,2021-05-26 01:49:15
90,Chipoka,-13.9933,34.5157,61.83,67,0,7.07,MW,2021-05-26 01:49:15
91,Mahebourg,-20.4081,57.7,70.25,94,40,3.44,MU,2021-05-26 01:49:16
92,Qaanaaq,77.484,-69.3632,29.34,72,12,6.31,GL,2021-05-26 01:49:16
93,Saskylakh,71.9167,114.0833,52.77,68,99,10.63,RU,2021-05-26 01:44:52
94,Machaneng,-23.1862,27.4886,54.21,57,100,0.83,BW,2021-05-26 01:49:17
95,Port Blair,11.6667,92.75,84.24,84,90,10.36,IN,2021-05-26 01:49:17
96,Huanren,41.2647,125.3667,58.46,55,100,4.03,CN,2021-05-26 01:49:17
97,Anadyr,64.75,177.4833,48.7,53,20,24.0,RU,2021-05-26 01:49:18
98,Atar,20.5169,-13.0499,82.78,20,6,8.61,MR,2021-05-26 01:49:18
99,Guadix,37.2993,-3.1392,57.13,61,64,3.51,ES,2021-05-26 01:49:18
100,Berbera,10.4396,45.0143,86.38,65,84,6.76,SO,2021-05-26 01:49:19
101,Sobolevo,54.4299,31.8996,54.54,79,99,8.12,RU,2021-05-26 01:49:19
102,Kinkala,-4.3614,14.7644,75.51,78,65,3.0,CG,2021-05-26 01:49:19
103,Ulladulla,-35.35,150.4667,67.87,43,0,9.78,AU,2021-05-26 01:49:20
104,Naze,28.3667,129.4833,65.32,67,100,4.85,JP,2021-05-26 01:49:20
105,Nyurba,63.2842,118.3319,56.66,46,100,5.06,RU,2021-05-26 01:49:20
106,Coffs Harbour,-30.3,153.1333,68.27,80,90,8.05,AU,2021-05-26 01:49:21
107,Avarua,-21.2078,-159.775,82.45,78,40,8.05,CK,2021-05-26 01:49:21
108,Carndonagh,55.25,-7.2667,46.27,95,93,4.68,IE,2021-05-26 01:49:21
109,Iranshahr,27.2025,60.6848,88.41,20,0,1.59,IR,2021-05-26 01:49:22
110,Karasjok,69.4719,25.5112,35.71,84,94,2.84,NO,2021-05-26 01:49:22
111,Port-Gentil,-0.7193,8.7815,79.84,87,100,12.84,GA,2021-05-26 01:49:22
112,Faanui,-16.4833,-151.75,81.18,69,11,10.11,PF,2021-05-26 01:49:22
113,Havre-Saint-Pierre,50.2334,-63.5986,45.19,93,75,5.75,CA,2021-05-26 01:49:01
114,Kuminskiy,58.6667,66.5667,54.99,93,97,7.16,RU,2021-05-26 01:49:23
115,Kruisfontein,-34.0033,24.7314,54.88,91,89,5.06,ZA,2021-05-26 01:49:23
116,Amnat Charoen,15.9167,104.75,84.69,67,99,7.56,TH,2021-05-26 01:49:24
117,Kholbon,51.8833,116.25,53.67,50,21,5.08,RU,2021-05-26 01:49:24
118,Rezekne,56.5,27.3167,54.05,97,100,11.32,LV,2021-05-26 01:49:24
119,Panguna,-6.3164,155.4848,74.68,93,100,3.49,PG,2021-05-26 01:49:25
